Author,Section,Question,Answer
Dahyeon Choi,2.0,What was an early natural language processing system that used pattern matching to recognize phrases?,ELIZA
Dahyeon Choi,2.0,What is ELIZA an example of?,chatbot
Dahyeon Choi,2.0,What is the most important tool for text pattern characterization?,Regular expressions
Dahyeon Choi,2.0,What uses regular expressions to convert text into a more standard form?,Text normalization
Dahyeon Choi,2.0,What breaks a sentence into a sequence of words and punctuation marks?,tokenizing
Dahyeon Choi,2.0,What is the process of finding root words of inflected words called?,Lemmatization
Dahyeon Choi,2.0,What is the process of finding root words of inflected words?,Lemmatization
Dahyeon Choi,2.0,What removes suffixes from words?,stemming
Dahyeon Choi,2.0,What is a measure of similarity between two strings?,Edit distance
Dahyeon Choi,2.1.1,What are case sensitive?,Regular expressions
Dahyeon Choi,2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces
Dahyeon Choi,2.1.1,What does the regular expression /[012]/ match to?,"any digit among 0, 1, and 2"
Dahyeon Choi,2.1.1,What indicates a range of characters?,dash
Dahyeon Choi,2.1.1,"When a caret() is used within square braces as the first symbol, what does it indicate?",it indicates that the pattern behind it is negated
Dahyeon Choi,2.1.1,What is indicated by the question mark?,Optional elements
Dahyeon Choi,2.1.1,Optional elements are indicated by the question mark(?) which means what can be included or not?,the character preceding the question mark
Dahyeon Choi,2.1.1,What does the Kleene star mean?,0 or more occurrences
Dahyeon Choi,2.1.1,What does the Kleene + mean?,1 or more occurrences
Dahyeon Choi,2.1.1,What is a wildcard expression that matches any single character?,The period
Dahyeon Choi,2.1.1,What is the period(.)?,a wildcard expression
Dahyeon Choi,2.1.1,The wildcard does not match with what?,carriage return
Dahyeon Choi,2.1.1,What can the wildcard match with the Kleene star?,any string of characters
Dahyeon Choi,2.1.1,What are symbols that anchor regular expressions to certain positions?,Anchors
Dahyeon Choi,2.1.1,What symbol matches the end of a line?,dollar sign
Dahyeon Choi,2.1.1,What is an anchor that matches with a boundary?,Backslash-b
Dahyeon Choi,2.1.2,What does disjunction use?,pipe symbol
Dahyeon Choi,2.1.2,What is used to indicate precedence for matching?,Parentheses
Dahyeon Choi,2.1.2,Parentheses can define strings to match with for symbols that apply to what by default?,single characters
Dahyeon Choi,2.1.2,"What prefers parentheses, counters, sequences and anchors, and disjunction in that order?",operator precedence hierarchy
Dahyeon Choi,2.1.2,Regular expressions always match what?,largest possible string
Dahyeon Choi,2.1.3,What increases precision and recall?,Reducing error
Dahyeon Choi,2.1.4,What can you specify?,the number of an instance in a pattern
Dahyeon Choi,2.1.4,How many instances of the previous character or expression are there?,four
Dahyeon Choi,2.1.4,What can you specify in a pattern?,ranges
Dahyeon Choi,2.1.4,What can you refer to with a backslash?,special characters
Dahyeon Choi,2.1.4,What are some special characters that you can refer to with a backslash?,"( ), ( )"
Dahyeon Choi,2.1.6,What is an important use of regular expressions?,Substitutions
Dahyeon Choi,2.1.6,What do we use number operators to do?,match a specific expression twice or more in a text
Dahyeon Choi,2.1.6,What backslash operator refers to the nth instance of a certain phrase or pattern in the text?,n
Dahyeon Choi,2.1.6,When does the command(? :) indicate a non-capturing group?,after an opening parenthesis
Dahyeon Choi,2.1.6,What is not placed in the register?,A non-capturing group
Dahyeon Choi,2.1.7,What searches text ahead for patterns?,Lookahead assertions
Dahyeon Choi,2.1.7,What match does the question-mark-equal-sign search for?,zero-width
Dahyeon Choi,2.2,What is a computer-readable collection of text or dialogue?,A corpus
Dahyeon Choi,2.2,What are utterances?,spoken sentences
Dahyeon Choi,2.2,What are disfluencies?,fragments or fillers
Dahyeon Choi,2.2,Fragments are what?,broken words
Dahyeon Choi,2.2,Disfluencies can be hindrances or what kind of signals?,useful
Dahyeon Choi,2.2,What is the set of words that share the same major word?,lemma
Dahyeon Choi,2.2,How can we differentiate the number of words?,by counting tokens or types
Dahyeon Choi,2.2,What are tokens?,total number of words
Dahyeon Choi,2.2,What are the number of unique words?,Types
Dahyeon Choi,2.2,Herdan's Law or Heap's Law states that the type equals what to the power of beta?,k times token
Dahyeon Choi,2.2,How can we measure a corpus?,counting the number of lemmas
Dahyeon Choi,2.2,What is the rough upper limit for the number of possible lemmas?,Dictionary entries or boldface forms
Dahyeon Choi,2.3,What are some variations in languages?,"dialect, code switching, genre"
Dahyeon Choi,2.3,Who can build datasheets to organize the properties of a corpus?,Corpus creators
Dahyeon Choi,2.4.1,What must be normalized in order to be processed?,natural languages
Dahyeon Choi,2.4.1,What does normalization involve?,"tokenizing words, normalizing formats, and segmenting words"
Dahyeon Choi,2.4.1,What is a basic method of tokenizing words?,Unix
Dahyeon Choi,2.4.1,"Unix can collapse, sort, and build statistics for the words in a corpus using commands such as what?",tr
Dahyeon Choi,2.4.1,What are the most common words in a corpus?,"articles, pronouns, and prepositions"
Dahyeon Choi,2.4.2,What does actual tokenization involve?,segmenting text into words
Dahyeon Choi,2.4.2,What must we account for according to where and how they are used?,punctuation and special characters
Dahyeon Choi,2.4.2,What can a tokenizer do?,expand clitic contractions
Dahyeon Choi,2.4.2,"What is the identification of names, dates, organizations, etc?",Named entity recognition
Dahyeon Choi,2.4.2,What is an example of clitic contraction?,I'm
Dahyeon Choi,2.4.2,What is used for parsed corpora released by the LDC?,Penn Treebank tokenization standard
Dahyeon Choi,2.4.2,What is important to tokenization before any other natural language processing can take place?,speed
Dahyeon Choi,2.4.2,What do algorithms have to deal with?,ambiguities
Dahyeon Choi,2.4.2,What language has no spaces?,Chinese
Dahyeon Choi,2.4.2,What is each character in a word barrier?,a morpheme
Dahyeon Choi,2.4.2,What language requires word segmentation?,Japanese
Dahyeon Choi,2.4.2,What is used for segmentation in languages with more ambiguities?,Neural sequence models
Dahyeon Choi,2.4.3,What can be automatically identified instead of pre-defining tokens as words or characters?,type of token
Dahyeon Choi,2.4.3,Automatic identification of tokens can solve what problem?,unknown word problem
Dahyeon Choi,2.4.3,Tokenizers often do what in order to solve the unknown word problem?,induce subwords
Dahyeon Choi,2.4.3,What are most tokenization schemes made out of?,token learner and a token segmenter
Dahyeon Choi,2.4.3,What induces a set of tokens from raw data?,token learner
Dahyeon Choi,2.4.3,What takes raw sentences and segments it based on the tokens produced by the learner?,token segmenter
Dahyeon Choi,2.4.3,What are the three widely-used algorithms that employ this method?,"byte-pair encoding, unigram language modeling, and WordPiece"
Dahyeon Choi,2.4.3,What library implements byte-pair encoding and unigram language modeling?,The SentencePiece library
Dahyeon Choi,2.4.3,What is another name for byte-pair encoding?,BPE
Dahyeon Choi,2.4.3,BPE repeats the process until what number of merges have happened?,k
Dahyeon Choi,2.4.3,What is the number of ens in a vocabulary?,k
Dahyeon Choi,2.4.4,What standardizes words and tokens?,Word Normalization
Dahyeon Choi,2.4.4,What maps all characters to one type of casing?,Case Folding
Dahyeon Choi,2.4.4,Why is case folding not used in some cases?,disadvantageous
Dahyeon Choi,2.4.4,What is the process of determining shared roots among words?,Lemmatization
Dahyeon Choi,2.4.4,What does lemmatization involve?,complete morphological parsing of a word
Dahyeon Choi,2.4.4,What are the two broad classes of morphemes?,"stems, and affixes"
Dahyeon Choi,2.4.4,Morphemes can be divided into two broad classes: what is the central morpheme and supply the main meaning?,stems
Dahyeon Choi,2.4.4,What are the add-ons that alter meanings or add more on?,Affixes
Dahyeon Choi,2.4.4,What is a simpler version of lemmatization?,Stemming
Dahyeon Choi,2.4.4,What is a widely used stemming algorithm based on a cascade rewriting process governed by a set of rules?,The Porter algorithm
Dahyeon Choi,2.4.5,What is one of the most successful cues for sentence segmentation?,punctuation
Dahyeon Choi,2.4.5,A period can be used as part of what?,abbreviations
Dahyeon Choi,2.4.5,What identifies the role of a period before segmentation?,sentence tokenization
Dahyeon Choi,2.5.0,What often involves identifying similarities between strings?,Natural language processing
Dahyeon Choi,2.5.0,What is another term for determining whether two strings refer to the same entity?,coreference
Dahyeon Choi,2.5.0,What is a way to quantify this measure of similarity?,Edit distance
Dahyeon Choi,2.5.0,What is the minimum number of editing operations required to make two strings equal?,Minimum edit distance
Dahyeon Choi,2.5.0,What is a correspondence between two strings?,their alignment
Dahyeon Choi,2.5.0,What indicates the editing operations needed to equalize two strings?,operation list
Dahyeon Choi,2.5.0,What is the most simple way to assign weight to editing operations?,Levenshtein distance
Dahyeon Choi,2.5.0,How many methods did Levenshtein propose?,two weighting methods
Dahyeon Choi,2.5.1,What is used to find the minimum edit distance?,dynamic programming
Dahyeon Choi,2.5.1,What is a class of algorithms that attempts to solve problems by combining solutions to sub-problems?,Dynamic programming
Dahyeon Choi,2.5.1,What are two examples of dynamic programming?,Viterbi algorithm and the CKY algorithm
Dahyeon Choi,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
