Author,Section,Question,Answer
Dahyeon Choi,2.0,What was an early natural language processing system that used pattern matching to recognize phrases?,ELIZA
Dahyeon Choi,2.0,What is ELIZA an example of?,chatbot
Dahyeon Choi,2.0,What is the most important tool for text pattern characterization?,Regular expressions
Dahyeon Choi,2.0,What uses regular expressions to convert text into a more standard form?,Text normalization
Dahyeon Choi,2.0,What breaks a sentence into a sequence of words and punctuation marks?,tokenizing
Dahyeon Choi,2.0,What is the process of finding root words of inflected words called?,Lemmatization
Dahyeon Choi,2.0,What is the process of finding root words of inflected words?,Lemmatization
Dahyeon Choi,2.0,What removes suffixes from words?,stemming
Dahyeon Choi,2.0,What is a measure of similarity between two strings?,Edit distance
Dahyeon Choi,2.1.1,What are case sensitive?,Regular expressions
Dahyeon Choi,2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces
Dahyeon Choi,2.1.1,What does the regular expression /[012]/ match to?,"any digit among 0, 1, and 2"
Dahyeon Choi,2.1.1,What indicates a range of characters?,dash
Dahyeon Choi,2.1.1,"When a caret() is used within square braces as the first symbol, what does it indicate?",it indicates that the pattern behind it is negated
Dahyeon Choi,2.1.1,What is indicated by the question mark?,Optional elements
Dahyeon Choi,2.1.1,Optional elements are indicated by the question mark(?) which means what can be included or not?,the character preceding the question mark
Dahyeon Choi,2.1.1,What does the Kleene star mean?,0 or more occurrences
Dahyeon Choi,2.1.1,What does the Kleene + mean?,1 or more occurrences
Dahyeon Choi,2.1.1,What is a wildcard expression that matches any single character?,The period
Dahyeon Choi,2.1.1,What is the period(.)?,a wildcard expression
Dahyeon Choi,2.1.1,The wildcard does not match with what?,carriage return
Dahyeon Choi,2.1.1,What can the wildcard match with the Kleene star?,any string of characters
Dahyeon Choi,2.1.1,What are symbols that anchor regular expressions to certain positions?,Anchors
Dahyeon Choi,2.1.1,What symbol matches the end of a line?,dollar sign
Dahyeon Choi,2.1.1,What is an anchor that matches with a boundary?,Backslash-b
Dahyeon Choi,2.1.2,What does disjunction use?,pipe symbol
Dahyeon Choi,2.1.2,What is used to indicate precedence for matching?,Parentheses
Dahyeon Choi,2.1.2,Parentheses can define strings to match with for symbols that apply to what by default?,single characters
Dahyeon Choi,2.1.2,"What prefers parentheses, counters, sequences and anchors, and disjunction in that order?",operator precedence hierarchy
Dahyeon Choi,2.1.2,Regular expressions always match what?,largest possible string
Dahyeon Choi,2.1.3,What increases precision and recall?,Reducing error
Dahyeon Choi,2.1.4,What can you specify?,the number of an instance in a pattern
Dahyeon Choi,2.1.4,How many instances of the previous character or expression are there?,four
Dahyeon Choi,2.1.4,What can you specify in a pattern?,ranges
Dahyeon Choi,2.1.4,What can you refer to with a backslash?,special characters
Dahyeon Choi,2.1.4,What are some special characters that you can refer to with a backslash?,"( ), ( )"
Dahyeon Choi,2.1.6,What is an important use of regular expressions?,Substitutions
Dahyeon Choi,2.1.6,What do we use number operators to do?,match a specific expression twice or more in a text
Dahyeon Choi,2.1.6,What backslash operator refers to the nth instance of a certain phrase or pattern in the text?,n
Dahyeon Choi,2.1.6,When does the command(? :) indicate a non-capturing group?,after an opening parenthesis
Dahyeon Choi,2.1.6,What is not placed in the register?,A non-capturing group
Dahyeon Choi,2.1.7,What searches text ahead for patterns?,Lookahead assertions
Dahyeon Choi,2.1.7,What match does the question-mark-equal-sign search for?,zero-width
Dahyeon Choi,2.2,What is a computer-readable collection of text or dialogue?,A corpus
Dahyeon Choi,2.2,What are utterances?,spoken sentences
Dahyeon Choi,2.2,What are disfluencies?,fragments or fillers
Dahyeon Choi,2.2,Fragments are what?,broken words
Dahyeon Choi,2.2,Disfluencies can be hindrances or what kind of signals?,useful
Dahyeon Choi,2.2,What is the set of words that share the same major word?,lemma
Dahyeon Choi,2.2,How can we differentiate the number of words?,by counting tokens or types
Dahyeon Choi,2.2,What are tokens?,total number of words
Dahyeon Choi,2.2,What are the number of unique words?,Types
Dahyeon Choi,2.2,Herdan's Law or Heap's Law states that the type equals what to the power of beta?,k times token
Dahyeon Choi,2.2,How can we measure a corpus?,counting the number of lemmas
Dahyeon Choi,2.2,What is the rough upper limit for the number of possible lemmas?,Dictionary entries or boldface forms
